,"Mitchell, Bob",,"1,001 Life story questions",".","Engadine NSW, Bob Mitchell, 6th. ed., 2010",".","95p.",".",646459236,,"...............",,"907.2  MIT","2012 - Jan.","...................","32.95",".........",,743,"Oral history   2. Interviewing"
,"Box, Allan",,"A soldier in the family. A source book for Australian military genealogy. The First Fleet to the Gulf War",".","Monash Uni., Gippsland Campus, School of Education. 1994",".","96p., illus, bibliog.",".",,,"...............",,"929.107  BOX  copy 3","...............","don. - Julie Box","........","........",,420,"Australia - Genealogy   2. Australia - Armed Forces - Genealogy   3. Soldiers - Australia - Genealogy"
,"Box, Allan",,"A Soldier in the family. A source book for Australian military genealogy: the First Fleet to the Gulf War",".","Monash Uni., Gippsland Campus, School of Education. 1994",".","96p., illus, bibliog.",".",,,"...............",,"929.107 BOX  copy 2","...............","don. - Rod Grant","........","........",,386,"Australia - Genealogy   2. Australia - Armed Forces - Genealogy   3. Soldiers - Australia - Genealogy"
,"Leone. Bette",,"A talk on some aspects of early Italian settlement in Australia",".","Mitcham (Vic.) Bette Leone, 2011",".","..............",".",,,"...............",,"994.004  LEO","2011 - Dec.","don. - Bette Leone","........","........",,740,"Italians in Australia - Genealogy    2.Australia - Genealogy  3. Italy - Emigration   4. Australia - Immigration"
,"Uren, Malcolm",,"A Thousand men at war",,"Melbourne, Heinneman, 1959",0,"259p., illus., maps",0,,,,,"940.54  URE","2015 Feb.","Bill's book shed","2.00",,,1024,"War - 1939 -1945 - Australia   2. Australia - Army - 2/16th Battalion    3. Australia - Army - Regimental histories"
,"Reakes, Janet",,"A to Z of genealogy. A handbook",".","Richmond (Vic.), Heinemann, rev. ed. 1989",".","286p., illus.",".",,,"...............",,"929.109 REA","...............","...................","........","........",,7,"Genealogy   2. Australia - Genealogy"
,"White, Joseph",,"A town called Outrim",,"[Brunswick, Vic.]  [J. White], 1976",,"80 p., illus.",,,,"...............",,"LH  994.52  WHI 1","2016 Feb.","don. - Wonthaggi FHG","........","........",,1071,"Victoria - Outtrim"
,"Mendelsohn, Oscar",,"A Waltz with Matilda. On the trail of a song",".","Melbourne, Lansdowne, 1966","."," 136p. illus.",".",,,"...............",,"784.4  MEN","...............","...................","........","........",,8,"Waltzing Matilda (song)  2. National Songs - Australia  3. Paterson, Andrew Barton, 1864-1941"
,"Duyker, Edward (ed)",,"A woman on the goldfields: recollections of Emily Skinner, 1854-1878",".","Carlton, Vic: Melbourne University Press, 1995",".","129p., illus.",".",,,"...............",,"994.55 SKI","2012 - May","don. - W.G.R.L.C.","........",".........",,798,"Skinner, Emily, 1831-1890. 2. Pioneers - Victoria - Biography 3. Gold mines and mining - Victoria - History"
,".......................................",,"AA big road atlas of Britain",".","Automobile Soociatiion (Great Britain), (1991)",".","np.,  maps",".",,,"...............",,"912.41  AUT","...............","...................","........","........",,9,"Great Britain - Road maps"
,".......................................",,"AA big road atlas of Britain",".","Automobile Soociatiion (Great Britain), 4th ed.,1994 ",".","140p. maps",".",,,"...............",,"912.41  AUT","...............","don. - Jenny Adam","........","........",,380,"Great Britain - Road maps"
,".........................................",,"Active service with Australia in the Middle East",,"Canberra, Australian War Memorial, 1941",0,"128o., illus., maps",0,"-",,,,"940.54  ACT","2015 Feb.","Bill's book shed","2.00",,,1038,"War - 1939 -1945 - Australia   2. War - 1939 -1945 - Campaigns - Middle East"
,"Wilson, Erle",,"Adams of the Bounty",".","...............",".","284p.",".",,,"...............",,"WIL","...............","don. - Sheila Skidmore","........","........",,479,"Ship - 'Bounty' - Fiction"
,"Whitelock, Derek",,"Adelaide 1836-1976. A history of difference",".","Qld. Q.U.P., 1977",".","341p., Illus., maps, bibliog.",".",,,"...............",,"994.23 / WHI","...............","...................","........","........",,10,"South Australia - Adelaide - History"
,"Colwell, Max & Naylor, Alan",,"Adelaide. An illustrated history",,"(Joslin, Sth.Aust.), MCP, rev.ed. 1981",".","np, illus.",".",,,"...............",,"994.231  COL","2013 - Aug. ","don. - Jan Andrews","........",".........",,902,"South Australia - Adelaide"
,"Whitehead, John",,"Adelaide.. City of churches",,"Magill (S.A.), John Whitehead, 1986",,"230p. illus",,,,"...............",,"280.0994  WHI","2013  Oct.","don. - Jan Andrews","........",".........",,914,"South Austraia - Adelaide  2. "
,".......................................",,"Advice to a young lady in the Colonies",".","Collingwood, Vic., Greenhouse, 1979",".","91p.",".",,,"...............",,"642.4  ADV","...............","don. - Jan Andrews","........","........",,372,"Australia - Social life and customs - 1788-1851   "
,"Backhouse, Elizabeth",,"Against time and place",,"Freemantle (WA), Fremantle Arts Centre Press, 1990",".","256p., illus",".",,,"...............",,"929.2  BAC","2013 - Aug. ","don. - Jan Andrews","........",".........",,906,"Western Australia - Northam  2. Backhouse family"
,"Stanley, Peter",,"Air battle. Europe 1939-1945",".","North Sydney, Time-Life, 1987",".","168p. , illus.",".",,,"Australians at war. 2",0,"940.54  STA","2012 - Feb.","don. - Rod Grant","........","........",,757,"War - 1939-1945 - Aerial operations, Australian"
,"Turner, Grenville",,"Akubra is Australian for hat    ",".","NSW, Simon & Schuster, 1988",".","144p., illus.",".",,,"...............",,"391.43  TUR","2009","don. - Jenny Adam ","........","........",,573,"Akubra Hats Pty. Ltd..  2. Hats - Australia.  3. Country life - Australia - Pictorial works"
,"Donovan, Peter",,"Alice Springs",".","Alice Springs Town Council, 1988",".","399p. , illus.",".",,,"...............",,"994.291  DON","2011 - July","don. - Jan Andrews","........","........",,699,"Northern Territory - Alice Springs"
,"Howard, Jean",,"All things Lincolnshire",,"Society for Lincolnshire History and Archaeology, 2007",0,"267p., illus.",,"978 0 903582 27 8",,"...............",,"942.53  HOW","2015 Apr.","don. - Jan Andrews","........","........",,1052,"England - Lincolnshire"
,"Johnson, Dick",,"Alps at the crossroads. The quest for an Alpine National Park in Victoria",".","Victorian National Parks Association, 1974",".","207p., illus.",".",,,"...............",,"994.55  JOH  copy 2","...............","...................","............",".........",,494,"Victoria - Bogong High Plains   2. Victoria - Omeo   3. Victoria - Alpine Region  4. Alpine National Park (Vic.)  5. Victoria - National parks and reserves"
,"Johnson, Dick",,"Alps at the crossroads. The quest for an Alpine National Park in Victoria",".","Victorian National Parks Association, 1974",".","207p., illus.",".",,,"...............",,"994.55  JOH","...............","don. - Sue Lilley","........","........",,774,"Victoria - Bogong High Plains   2. Victoria - Omeo   3. Victoria - Alpine Region  4. Alpine National Park (Vic.)  5. Vicytoria - National parks and reserves"
,"Reakes, Janet",,"An A to Z of Scottish genealogy",,"Villawood (NSW), Genealogy Research Service Centre, c.1985",0,"61p., illus.",,,,"...............",,"929.1  REA 3","2013  Nov.","don. - Rod Grant","........",".........",,940,"Scotland - Genealogy"
,"Townrow, Karen",,"An archaeological survey of sealing and whaling sites in Victoria",0,"Melbourne, Heritage Council Victoria, c.1997",0,"40p., illus.",,,,"...............",0,"639.29  TOW","2014 - Jun.","don. - Coral Grey","........",".........",,986,"Sealing - Victoria - History   2. Whaling - Victoria - History   3. Victoria - Phillip Island   4. Victoria - Westerport"
,"Holt, Henry E.",,"An energetic colonist. A biographical account. A biographical account of the activities of the late Hon. Thomas Holt MLC.",".","Melbourne, Hawthorn Press, 1972",".","202p. b & w photos",".",,,"...............",,"994.41  HOL","...............","don. - Roslyn Taylor","........","........",,472,"Holt, Thomas  1811-1888   N.S.W. - Sydney - History, 1842-1888"
,"Karney, Mary",,"An Island family",,"Hastings (Vic.), Mary Karney, 2014",,"42 p., illus.",,,,"...............",,"LH  929.2  ROB","2014 Dec.","Cowes Newsagency","19.95",,,1012,"Phillip Island   2. Robb family (Phillip Island)"
,"O'Collns, Maev",,"An uneasy relationship. Norfolk Island an the Commonwealth of Australia",,"Canberra, Pandanus Books, 2002",".","174p., map",".",,,"...............",,"994.82  OCO","2013 - Aug. ","don. - W.G.R.L.C.","........",".........",,901,"Norfolk Island  2. Australia - Politics and government"
,"Baird, Patricia Stavely",,"An unlettered girl: her life on the goldfields",".","Rhyll, Vic: Maddigan Press, 2002",".","230p., illus.",".",,,"...............",,"994.5031 BAI","2012 - May","don. - W.G.R.L.C.","........",".........",,799,"Stavers, David, 1831?  2.Mcfaden, Margaret, 1834?  3. Gold miners - Victoria - Biography"
,"Hayes, Genevieve",,"Ancestors and family tree of Hilda Mary Jones.",,"Phillip Island (Vic.), PIADGS, 2014",,"49p., illus",,,,"Family History Research Report",,"929.9  JON","2014 Dec.","P.I.A.D.G.S",,,,1011,"Jones family"
